'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "ks_zandvoort, zandvoort_prc"
Pole, "Electro(01:57.3070)"
Lasted laps, "8"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "Electro", "4", "01:57.3070", "-",
"2",   "", "", "ks_mazda_mx5_cup", "JEMknight657", "5", "01:57.3400", "00:00.0330",
"3",   "", "", "ks_mazda_mx5_cup", "Waffles", "8", "01:57.6540", "00:00.3470",
"4",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "7", "01:57.6780", "00:00.3710",
"5",   "", "", "ks_mazda_mx5_cup", "Salzeder", "7", "01:57.6810", "00:00.3740",
"6",   "", "", "ks_mazda_mx5_cup", "Georgin", "6", "01:57.6870", "00:00.3800",
"7",   "", "", "ks_mazda_mx5_cup", "NotJames", "6", "01:57.7300", "00:00.4230",
"8",   "", "", "ks_mazda_mx5_cup", "maestro", "7", "01:57.7730", "00:00.4660",
"9",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "5", "01:57.8920", "00:00.5850",
"10",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "8", "01:57.9570", "00:00.6500",
"11",   "", "", "ks_mazda_mx5_cup", "Trempale", "6", "01:58.2490", "00:00.9420",
"12",   "", "", "ks_mazda_mx5_cup", "xPsychedelix", "6", "01:58.2680", "00:00.9610",
"13",   "", "", "ks_mazda_mx5_cup", "gunciz", "7", "01:58.5320", "00:01.2250",
"6 ", ks_mazda_mx5_cup, no,"0", "01:58.5680", "54.7090", "63.8590", "-",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:57.6780", "53.5300", "64.1480", "-",  "F:H - R:H",     

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Salzeder"
"1 ", ks_mazda_mx5_cup, no,"0", "02:22.5600", "77.9260", "64.6340", "-",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:58.0750", "53.8510", "64.2240", "-",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:57.9730", "53.9470", "64.0260", "-",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "02:09.3090", "65.1020", "64.2070", "-",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:57.7690", "53.9360", "63.8330", "-",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:57.6810", "53.6730", "64.0080", "-",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "02:08.5370", "64.3630", "64.1740", "-",  "F:H - R:H",     

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Georgin"
"1 ", ks_mazda_mx5_cup, no,"0", "02:10.8590", "63.4040", "67.4550", "-",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:58.7890", "54.0970", "64.6920", "-",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "02:36.9740", "91.0410", "65.9330", "-",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "03:05.4380", "120.9000", "64.5380", "-",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:57.6870", "53.5030", "64.1840", "-",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "02:01.7020", "53.5040", "68.1980", "-",  "F:H - R:H",     

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NotJames"
"1 ", ks_mazda_mx5_cup, no,"0", "02:17.9920", "73.0250", "64.9670", "-",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:58.5980", "53.9690", "64.6290", "-",  "F:H - R:H",     
