'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "hockenheim_2018"
Pole, "McLarenTim(01:28.5970)"
Lasted laps, "7"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "urd_t5_maures_2018", "McLarenTim", "6", "01:28.5970", "-",
"2",   "", "", "urd_t5_maures_2018", "PhotonBurst", "6", "01:28.7460", "00:00.1490",
"3",   "", "", "urd_t5_aura_2018", "gunciz", "5", "01:29.4850", "00:00.8880",
"4",   "", "", "urd_t5_aura_2018", "MrGrinder", "4", "01:29.5850", "00:00.9880",
"5",   "", "", "urd_t5_bayro_2018", "Trempale", "6", "01:29.7130", "00:01.1160",
"6",   "", "", "urd_t5_bayro_2018", "JEMknight657", "5", "01:30.1900", "00:01.5930",
"3 ", urd_t5_bayro_2018, no,"0", "01:54.1570", "41.8460", "43.8480", "28.4630",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:29.8080", "20.2780", "41.7370", "27.7930",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "01:58.7270", "42.3490", "46.1110", "30.2670",  "F:M - R:M",     
"6 ", urd_t5_bayro_2018, no,"0", "01:29.9260", "20.3290", "41.9270", "27.6700",  "F:M - R:M",     
Average,,,"01:41.9989", "29.7438", "43.5373", "28.7178"
Best possible,,, "01:29.5510", "20.2780", "41.7370", "27.5360"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"JEMknight657"
"1 ", urd_t5_bayro_2018, no,"0", "02:34.3540", "72.6200", "50.0900", "31.6440",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:30.1900", "20.2650", "41.9040", "28.0210",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:32.9570", "20.2470", "41.8940", "30.8160",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:38.9850", "20.2350", "50.4040", "28.3460",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "02:42.1520", "87.0380", "46.5390", "28.5750",  "F:M - R:M",     
Average,,,"01:59.7276", "44.0810", "46.1662", "29.4804"
Best possible,,, "01:30.1500", "20.2350", "41.8940", "28.0210"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Waffles"
"1 ", urd_t5_aura_2018, no,"0", "01:53.4730", "37.0220", "45.3250", "31.1260",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:30.4010", "20.5030", "41.9980", "27.9000",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:30.2990", "20.3610", "42.1240", "27.8140",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:34.8400", "20.5040", "43.6460", "30.6900",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:30.3070", "20.3500", "41.9710", "27.9860",  "F:M - R:M",     
"6 ", urd_t5_aura_2018, no,"0", "01:30.3030", "20.5070", "41.9410", "27.8550",  "F:M - R:M",     
Average,,,"01:34.9372", "23.2078", "42.8342", "28.8952"
Best possible,,, "01:30.1050", "20.3500", "41.9410", "27.8140"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Salzeder"
"1 ", urd_t5_bayro_2018, no,"0", "01:45.5040", "28.2610", "48.0910", "29.1520",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:32.7540", "20.3120", "44.3520", "28.0900",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:32.8700", "20.4660", "43.9740", "28.4300",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:30.6910", "20.6080", "42.1830", "27.9000",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "01:30.3610", "20.4620", "42.0660", "27.8330",  "F:M - R:M",     
"6 ", urd_t5_bayro_2018, no,"0", "02:04.7460", "53.5510", "43.3220", "27.8730",  "F:M - R:M",     
Average,,,"01:39.4877", "27.2767", "43.9980", "28.2130"
Best possible,,, "01:30.2110", "20.3120", "42.0660", "27.8330"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NotJames"
"1 ", urd_t5_bayro_2018, no,"0", "01:59.3510", "42.4010", "46.2020", "30.7480",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:32.0050", "20.5810", "42.1970", "29.2270",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:30.7070", "20.6920", "42.2100", "27.8050",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:33.6110", "20.3520", "44.2390", "29.0200",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "01:30.6870", "20.4370", "42.2640", "27.9860",  "F:M - R:M",     
"6 ", urd_t5_bayro_2018, no,"0", "01:43.6890", "32.1610", "43.3260", "28.2020",  "F:M - R:M",     
"7 ", urd_t5_bayro_2018, no,"0", "01:30.4320", "20.6090", "41.8860", "27.9370",  "F:M - R:M",     
Average,,,"01:37.2117", "25.3190", "43.1891", "28.7036"
Best possible,,, "01:30.0430", "20.3520", "41.8860", "27.8050"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"xPsychedelix"
"1 ", urd_t5_aura_2018, no,"0", "02:28.2100", "68.7040", "50.7460", "28.7600",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:30.9010", "20.1930", "42.2630", "28.4450",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:32.4810", "21.0830", "43.0470", "28.3510",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:30.9720", "20.4110", "42.3230", "28.2380",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:31.2730", "20.3750", "42.6150", "28.2830",  "F:M - R:M",     
"6 ", urd_t5_aura_2018, no,"0", "01:30.4640", "20.3550", "42.0290", "28.0800",  "F:M - R:M",     
Average,,,"01:40.7169", "28.5202", "43.8372", "28.3595"
Best possible,,, "01:30.3020", "20.1930", "42.0290", "28.0800"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gman197002"
"1 ", urd_t5_aura_2018, no,"0", "01:55.7550", "42.7470", "44.5270", "28.4810",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:31.5300", "20.5380", "42.5510", "28.4410",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:32.0380", "21.0320", "42.6780", "28.3280",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:31.1310", "20.5080", "42.6060", "28.0170",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:31.0840", "20.4290", "42.5250", "28.1300",  "F:M - R:M",     
"6 ", urd_t5_aura_2018, no,"0", "01:31.1750", "20.5390", "42.2150", "28.4210",  "F:M - R:M",     
Average,,,"01:35.4521", "24.2988", "42.8503", "28.3030"
Best possible,,, "01:30.6610", "20.4290", "42.2150", "28.0170"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Monochromatica"
"1 ", urd_t5_bayro_2018, no,"0", "01:44.0840", "31.1080", "44.3250", "28.6510",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:31.5370", "20.8600", "42.6240", "28.0530",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "02:18.4260", "66.6140", "43.2910", "28.5210",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:32.7850", "21.6670", "42.7680", "28.3500",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "01:32.5660", "20.9660", "43.0070", "28.5930",  "F:M - R:M",     
"6 ", urd_t5_bayro_2018, no,"0", "01:31.5630", "20.7870", "42.4570", "28.3190",  "F:M - R:M",     
Average,,,"01:41.8269", "30.3337", "43.0787", "28.4145"
Best possible,,, "01:31.2970", "20.7870", "42.4570", "28.0530"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NihonTiger"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"marzen224"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Broadcast"
No laps for this driver


Qualify best laps
'======================
'------------------------
Overall top (20)
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "urd_t5_maures_2018", "01:28.5970", ""
"PhotonBurst", "urd_t5_maures_2018", "01:28.7460", "0.149"
"PhotonBurst", "urd_t5_maures_2018", "01:29.0030", "0.406"
"McLarenTim", "urd_t5_maures_2018", "01:29.0860", "0.489"
"gunciz", "urd_t5_aura_2018", "01:29.4850", "0.888"
"MrGrinder", "urd_t5_aura_2018", "01:29.5850", "0.988"
"MrGrinder", "urd_t5_aura_2018", "01:29.6460", "1.049"
"Trempale", "urd_t5_bayro_2018", "01:29.7130", "1.116"
"PhotonBurst", "urd_t5_maures_2018", "01:29.7210", "1.124"
"gunciz", "urd_t5_aura_2018", "01:29.7710", "1.174"
"gunciz", "urd_t5_aura_2018", "01:29.7850", "1.188"
"Trempale", "urd_t5_bayro_2018", "01:29.8080", "1.211"
"Trempale", "urd_t5_bayro_2018", "01:29.9260", "1.329"
"JEMknight657", "urd_t5_bayro_2018", "01:30.1900", "1.593"
"Waffles", "urd_t5_aura_2018", "01:30.2990", "1.702"
"Waffles", "urd_t5_aura_2018", "01:30.3030", "1.706"
"Waffles", "urd_t5_aura_2018", "01:30.3070", "1.71"
"Salzeder", "urd_t5_bayro_2018", "01:30.3610", "1.764"
"Waffles", "urd_t5_aura_2018", "01:30.4010", "1.804"
"NotJames", "urd_t5_bayro_2018", "01:30.4320", "1.835"


'------------------------
Per driver
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "urd_t5_maures_2018", "01:28.5970", ""
"PhotonBurst", "urd_t5_maures_2018", "01:28.7460", "0.149"
"gunciz", "urd_t5_aura_2018", "01:29.4850", "0.888"
"MrGrinder", "urd_t5_aura_2018", "01:29.5850", "0.988"
"Trempale", "urd_t5_bayro_2018", "01:29.7130", "1.116"
"JEMknight657", "urd_t5_bayro_2018", "01:30.1900", "1.593"
"Waffles", "urd_t5_aura_2018", "01:30.2990", "1.702"
"Salzeder", "urd_t5_bayro_2018", "01:30.3610", "1.764"
"NotJames", "urd_t5_bayro_2018", "01:30.4320", "1.835"
"xPsychedelix", "urd_t5_aura_2018", "01:30.4640", "1.867"
"gman197002", "urd_t5_aura_2018", "01:31.0840", "2.487"
"Monochromatica", "urd_t5_bayro_2018", "01:31.5370", "2.94"


Qualify consistency
'======================
Driver, Vehicle, Consistency,
"MrGrinder", "urd_t5_aura_2018", "99.93%  0.061",
"Trempale", "urd_t5_bayro_2018", "99.83%  0.154",
"gunciz", "urd_t5_aura_2018", "99.67%  0.293",
"gman197002", "urd_t5_aura_2018", "99.58%  0.3845",
"PhotonBurst", "urd_t5_maures_2018", "99.31%  0.616",
"Monochromatica", "urd_t5_bayro_2018", "99.16%  0.7677",
"xPsychedelix", "urd_t5_aura_2018", "98.96%  0.9427",
"Waffles", "urd_t5_aura_2018", "98.71%  1.1637",
"McLarenTim", "urd_t5_maures_2018", "98.22%  1.58",
"Salzeder", "urd_t5_bayro_2018", "98.07%  1.744",
"NotJames", "urd_t5_bayro_2018", "95.90%  3.7078",
"JEMknight657", "urd_t5_bayro_2018", "93.59%  5.781",
"NihonTiger", "urd_t5_bayro_2018", "-",
"marzen224", "urd_t5_maures_2018", "-",
"Broadcast", "ford_transit", "-",




Qualify sectors
'======================
'------------------------
Sector 1
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "urd_t5_maures_2018", "19.9330", "-"
"PhotonBurst", "urd_t5_maures_2018", "20.0310", "0.0980"
"gunciz", "urd_t5_aura_2018", "20.1220", "0.1890"
"MrGrinder", "urd_t5_aura_2018", "20.1320", "0.1990"
"xPsychedelix", "urd_t5_aura_2018", "20.1930", "0.2600"
"JEMknight657", "urd_t5_bayro_2018", "20.2350", "0.3020"
"Trempale", "urd_t5_bayro_2018", "20.2780", "0.3450"
"Salzeder", "urd_t5_bayro_2018", "20.3120", "0.3790"
"Waffles", "urd_t5_aura_2018", "20.3500", "0.4170"
"NotJames", "urd_t5_bayro_2018", "20.3520", "0.4190"
