'+++++++++++++++++++++
Practice 1
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "PRACTICE"
Track:, "zolder, zolder2017online_prc"
"
Best lap, "McLarenTim (01:23.9270)"
Lasted laps, "3"
Host, "Unknown"



Practice 1 result
'======================
Pos,  Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",  "", "", "urd_t5_maures_2018", "McLarenTim", "2", "01:23.9270", "-",
"2",  "", "", "urd_t5_maures_2018", "PhotonBurst", "3", "01:25.3870", "00:01.4600",
"3",  "", "", "urd_t5_bayro_2018", "JEMknight657", "2", "01:26.1110", "00:02.1840",
"4",  "", "", "urd_t5_bayro_2018", "bacsi97", "3", "01:27.1580", "00:03.2310",
"5",  "", "", "urd_t5_maures_2018", "NotJames", "3", "01:28.4440", "00:04.5170",
"6",  "", "", "urd_t5_aura_2018", "gman197002", "2", "01:31.5670", "00:07.6400",
"7",  "", "", "urd_t5_bayro_2018", "Jekay", "1", "02:05.5910", "00:41.6640",
"8",  "", "", "urd_t5_bayro_2018", "gunciz", "1", "02:10.5500", "00:46.6230",
"9",  "", "", "urd_t5_bayro_2018", "maestro", "0", "-", "-",
"10",  "", "", "urd_t5_bayro_2018", "Nemaides", "0", "-", "-",
"11",  "", "", "urd_t5_aura_2018", "zelderan", "0", "-", "-",
"12",  "", "", "urd_t5_maures_2018", "Viperion_NZ", "0", "-", "-",
"13",  "", "", "urd_t5_aura_2018", "xPsychedelix", "0", "-", "-",
"14",  "", "", "urd_t5_bayro_2018", "sharkeh", "0", "-", "-",
"15",  "", "", "urd_t5_bayro_2018", "Yames", "0", "-", "-",
"16",  "", "", "urd_t5_maures_2018", "misterbob", "0", "-", "-",
"17",  "", "", "urd_t5_maures_2018", "Trempale", "0", "-", "-",
"18",  "", "", "urd_t5_bayro_2018", "Peketr", "0", "-", "-",
"19",  "", "", "urd_t5_maures_2018", "krs-1", "0", "-", "-",
"20",  "", "", "ford_transit", "Broadcast 1", "0", "-", "-",
"21",  "", "", "ford_transit", "Broadcast 2", "0", "-", "-",

Practice 1 laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", urd_t5_maures_2018, no,"0", "01:57.4640", "58.4150", "30.8840", "28.1650",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:23.9270", "26.5250", "29.3490", "28.0530",  "F:M - R:M",     
Average,,,"01:40.6955", "42.4700", "30.1165", "28.1090"
Best possible,,, "01:23.9270", "26.5250", "29.3490", "28.0530"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", urd_t5_maures_2018, no,"0", "01:55.5030", "53.8620", "32.6920", "28.9490",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:25.3870", "26.9730", "30.1950", "28.2190",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:28.2870", "27.0770", "29.8630", "31.3470",  "F:M - R:M",     
Average,,,"01:36.3924", "35.9707", "30.9167", "29.5050"
Best possible,,, "01:25.0550", "26.9730", "29.8630", "28.2190"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"JEMknight657"
"1 ", urd_t5_bayro_2018, no,"0", "02:02.1270", "63.1230", "30.2620", "28.7420",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:26.1110", "27.5040", "30.0690", "28.5380",  "F:M - R:M",     
Average,,,"01:44.1190", "45.3135", "30.1655", "28.6400"
Best possible,,, "01:26.1110", "27.5040", "30.0690", "28.5380"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"bacsi97"
"1 ", urd_t5_bayro_2018, no,"0", "02:06.4110", "62.4560", "31.5550", "32.4000",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:28.3610", "27.9350", "30.1010", "30.3250",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:27.1580", "27.5560", "29.9210", "29.6810",  "F:M - R:M",     
Average,,,"01:40.6434", "39.3157", "30.5257", "30.8020"
Best possible,,, "01:27.1580", "27.5560", "29.9210", "29.6810"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NotJames"
"1 ", urd_t5_maures_2018, no,"0", "02:00.3940", "57.4340", "33.1200", "29.8400",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:28.4440", "27.7840", "31.0140", "29.6460",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:31.6160", "28.0090", "34.0250", "29.5820",  "F:M - R:M",     
