'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "hockenheim_2018"
Pole, "McLarenTim(01:44.9640)"
Lasted laps, "6"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_porsche_cayman_gt4_clubsport", "McLarenTim", "6", "01:44.9640", "-",
"2",   "", "", "ks_porsche_cayman_gt4_clubsport", "PhotonBurst", "6", "01:45.0720", "00:00.1080",
"3",   "", "", "ks_porsche_cayman_gt4_clubsport", "Electro", "5", "01:45.1380", "00:00.1740",
"4",   "", "", "ks_porsche_cayman_gt4_clubsport", "gunciz", "5", "01:45.3890", "00:00.4250",
Average,,,"01:53.9656", "31.7566", "48.4742", "33.7348"
Best possible,,, "01:45.3890", "23.8180", "48.1270", "33.4440"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NotJames"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:53.6820", "31.5520", "48.5010", "33.6290",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.6140", "24.2320", "48.3520", "33.0300",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:00.6560", "27.4750", "56.5070", "36.6740",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:17.4640", "55.8430", "48.4160", "33.2050",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.4360", "24.0270", "48.2300", "33.1790",  "F:H - R:H",     
Average,,,"01:56.5704", "32.6258", "50.0012", "33.9434"
Best possible,,, "01:45.2870", "24.0270", "48.2300", "33.0300"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gman197002"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:04.9580", "42.1450", "49.0720", "33.7410",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:46.0850", "23.8880", "48.7000", "33.4970",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:47.2510", "24.2710", "48.5960", "34.3840",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.9630", "24.0260", "48.5110", "33.4260",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:46.5150", "24.0790", "48.8480", "33.5880",  "F:H - R:H",     
Average,,,"01:50.1544", "27.6818", "48.7454", "33.7272"
Best possible,,, "01:45.8250", "23.8880", "48.5110", "33.4260"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"MrGrinder"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:12.5920", "42.7540", "51.0700", "38.7680",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:46.1200", "24.1980", "48.4280", "33.4940",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "03:06.4760", "104.3560", "48.6000", "33.5200",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:46.6390", "24.1130", "48.4470", "34.0790",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.9670", "24.1750", "48.3880", "33.4040",  "F:H - R:H",     
Average,,,"02:07.5588", "43.9192", "48.9866", "34.6530"
Best possible,,, "01:45.9050", "24.1130", "48.3880", "33.4040"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Salzeder"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:02.2680", "39.7690", "48.7300", "33.7690",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "03:07.9190", "105.4620", "48.8690", "33.5880",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:46.0310", "24.1590", "48.5280", "33.3440",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:47.0490", "24.5180", "48.8570", "33.6740",  "F:H - R:H",     
Average,,,"02:10.8168", "48.4770", "48.7460", "33.5938"
Best possible,,, "01:46.0310", "24.1590", "48.5280", "33.3440"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Georgin"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:23.6420", "59.7890", "48.9560", "34.8970",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:46.3640", "24.1270", "48.3790", "33.8580",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "03:35.8950", "133.7520", "48.5280", "33.6150",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:47.0630", "24.1820", "48.6860", "34.1950",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:46.4950", "24.3290", "48.6090", "33.5570",  "F:H - R:H",     
Average,,,"02:15.8918", "53.2358", "48.6316", "34.0244"
Best possible,,, "01:46.0630", "24.1270", "48.3790", "33.5570"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Echo51"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:20.7030", "56.9130", "49.7020", "34.0880",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:48.1620", "24.3580", "49.8920", "33.9120",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:51.3610", "24.2230", "48.9460", "38.1920",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:49.0490", "24.5260", "48.7440", "35.7790",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:47.1750", "24.3210", "49.0580", "33.7960",  "F:H - R:H",     
Average,,,"01:55.2900", "30.8682", "49.2684", "35.1534"
Best possible,,, "01:46.7630", "24.2230", "48.7440", "33.7960"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Crosdale"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:00.3480", "36.2560", "49.4730", "34.6190",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:48.1800", "25.1860", "48.8380", "34.1560",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:18.4690", "53.6620", "48.9650", "35.8420",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:47.7180", "24.7830", "48.9370", "33.9980",  "F:H - R:H",     
Average,,,"01:58.6789", "34.9718", "49.0533", "34.6538"
Best possible,,, "01:47.6190", "24.7830", "48.8380", "33.9980"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Trempale"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Waffles"
No laps for this driver


Qualify best laps
'======================
'------------------------
Overall top (20)
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "ks_porsche_cayman_gt4_clubsport", "01:44.9640", ""
"McLarenTim", "ks_porsche_cayman_gt4_clubsport", "01:44.9890", "0.025"
"PhotonBurst", "ks_porsche_cayman_gt4_clubsport", "01:45.0720", "0.108"
"McLarenTim", "ks_porsche_cayman_gt4_clubsport", "01:45.0890", "0.125"
"Electro", "ks_porsche_cayman_gt4_clubsport", "01:45.1380", "0.174"
"Electro", "ks_porsche_cayman_gt4_clubsport", "01:45.2280", "0.264"
"PhotonBurst", "ks_porsche_cayman_gt4_clubsport", "01:45.2880", "0.324"
"McLarenTim", "ks_porsche_cayman_gt4_clubsport", "01:45.3290", "0.365"
"Electro", "ks_porsche_cayman_gt4_clubsport", "01:45.3810", "0.417"
"gunciz", "ks_porsche_cayman_gt4_clubsport", "01:45.3890", "0.425"
"PhotonBurst", "ks_porsche_cayman_gt4_clubsport", "01:45.3930", "0.429"
"NotJames", "ks_porsche_cayman_gt4_clubsport", "01:45.4360", "0.472"
"NotJames", "ks_porsche_cayman_gt4_clubsport", "01:45.6140", "0.65"
"gunciz", "ks_porsche_cayman_gt4_clubsport", "01:45.7230", "0.759"
"gman197002", "ks_porsche_cayman_gt4_clubsport", "01:45.9630", "0.999"
"MrGrinder", "ks_porsche_cayman_gt4_clubsport", "01:45.9670", "1.003"
"gunciz", "ks_porsche_cayman_gt4_clubsport", "01:45.9800", "1.016"
"Salzeder", "ks_porsche_cayman_gt4_clubsport", "01:46.0310", "1.067"
"gman197002", "ks_porsche_cayman_gt4_clubsport", "01:46.0850", "1.121"
"MrGrinder", "ks_porsche_cayman_gt4_clubsport", "01:46.1200", "1.156"


'------------------------
Per driver
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "ks_porsche_cayman_gt4_clubsport", "01:44.9640", ""
"PhotonBurst", "ks_porsche_cayman_gt4_clubsport", "01:45.0720", "0.108"
"Electro", "ks_porsche_cayman_gt4_clubsport", "01:45.1380", "0.174"
"gunciz", "ks_porsche_cayman_gt4_clubsport", "01:45.3890", "0.425"
"NotJames", "ks_porsche_cayman_gt4_clubsport", "01:45.4360", "0.472"
"gman197002", "ks_porsche_cayman_gt4_clubsport", "01:45.9630", "0.999"
"MrGrinder", "ks_porsche_cayman_gt4_clubsport", "01:45.9670", "1.003"
"Salzeder", "ks_porsche_cayman_gt4_clubsport", "01:46.0310", "1.067"
"Georgin", "ks_porsche_cayman_gt4_clubsport", "01:46.3640", "1.4"
"Echo51", "ks_porsche_cayman_gt4_clubsport", "01:47.1750", "2.211"
"Crosdale", "ks_porsche_cayman_gt4_clubsport", "01:47.7180", "2.754"


Qualify consistency
'======================
Driver, Vehicle, Consistency,
"McLarenTim", "ks_porsche_cayman_gt4_clubsport", "99.84%  0.1717",
"MrGrinder", "ks_porsche_cayman_gt4_clubsport", "99.61%  0.4125",
"Georgin", "ks_porsche_cayman_gt4_clubsport", "99.61%  0.415",
"Crosdale", "ks_porsche_cayman_gt4_clubsport", "99.57%  0.462",
"gunciz", "ks_porsche_cayman_gt4_clubsport", "99.56%  0.4625",
"gman197002", "ks_porsche_cayman_gt4_clubsport", "99.38%  0.654",
