'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "vir, north course_prc"
Pole, "NotJames(01:36.8420)"
Lasted laps, "9"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "NotJames", "8", "01:36.8420", "-",
"2",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "7", "01:37.1050", "00:00.2630",
"3",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "9", "01:37.2720", "00:00.4300",
"4",   "", "", "ks_mazda_mx5_cup", "maestro", "8", "01:37.5420", "00:00.7000",
"5",   "", "", "ks_mazda_mx5_cup", "gunciz", "9", "01:37.5730", "00:00.7310",
"6",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "9", "01:37.7930", "00:00.9510",
"7",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "9", "01:37.7950", "00:00.9530",
"8",   "", "", "ks_mazda_mx5_cup", "Salzeder", "9", "01:37.9240", "00:01.0820",
Average,,,"01:46.7724", "53.8762", "21.6308", "31.2654"
Best possible,,, "01:37.0160", "44.5950", "21.4250", "30.9960"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"maestro"
"1 ", ks_mazda_mx5_cup, no,"0", "01:50.6350", "57.4230", "21.8780", "31.3340",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:38.6680", "45.3210", "22.1580", "31.1890",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:38.1860", "44.8170", "22.0050", "31.3640",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:37.6210", "44.8900", "21.6950", "31.0360",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:37.6560", "44.8030", "21.7400", "31.1130",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:37.5420", "44.7930", "21.7430", "31.0060",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "03:31.4360", "158.1380", "22.1180", "31.1800",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:37.8640", "44.7910", "21.6490", "31.4240",  "F:H - R:H",     
Average,,,"01:53.7011", "60.6220", "21.8733", "31.2058"
Best possible,,, "01:37.4460", "44.7910", "21.6490", "31.0060"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gunciz"
"1 ", ks_mazda_mx5_cup, no,"0", "01:48.0180", "55.0840", "21.6630", "31.2710",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:37.9110", "44.9500", "21.7400", "31.2210",  "F:H - R:H",     
