Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "marzen224", "7", "01:36.5010", "-",
"2",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "8", "01:36.8910", "00:00.3900",
"3",   "", "", "ks_mazda_mx5_cup", "gunciz", "9", "01:36.9430", "00:00.4420",
"4",   "", "", "ks_mazda_mx5_cup", "Georgin", "7", "01:37.0680", "00:00.5670",
"5",   "", "", "ks_mazda_mx5_cup", "Salzeder", "9", "01:37.1010", "00:00.6000",
"6",   "", "", "ks_mazda_mx5_cup", "Waffles", "7", "01:37.1190", "00:00.6180",
"7",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "7", "01:37.1440", "00:00.6430",
"8",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "9", "01:37.2170", "00:00.7160",
"9",   "", "", "ks_mazda_mx5_cup", "nemaides", "7", "01:37.3300", "00:00.8290",
"10",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "7", "01:37.4610", "00:00.9600",
"11",   "", "", "ks_mazda_mx5_cup", "maestro", "8", "01:37.5050", "00:01.0040",
"12",   "", "", "ks_mazda_mx5_cup", "xPsychedelix", "7", "01:37.6760", "00:01.1750",
"13",   "", "", "ks_mazda_mx5_cup", "Viperion_NZ", "4", "01:37.7470", "00:01.2460",
"14",   "", "", "ks_mazda_mx5_cup", "NotJames", "7", "01:37.9260", "00:01.4250",
"15",   "", "", "ks_mazda_mx5_cup", "Smartpipe", "8", "01:38.0710", "00:01.5700",
"16",   "", "", "ks_mazda_mx5_cup", "Barricade", "7", "01:39.9330", "00:03.4320",
"17",   "", "", "ks_mazda_mx5_cup", "Horanjo", "8", "01:40.1490", "00:03.6480",
"18",   "", "", "ks_mazda_mx5_cup", "Jifu", "8", "01:42.2200", "00:05.7190",
"19",   "", "", "ks_mazda_mx5_cup", "JEMknight657", "0", "-", "-",
"20",   "", "", "ks_mazda_mx5_cup", "Trempale", "0", "-", "-",
"21",   "", "", "ks_mazda_mx5_cup", "Electro", "0", "-", "-",

Qualify laps
'======================
"7 ", ks_mazda_mx5_cup, no,"0", "01:37.2780", "44.7620", "37.9990", "14.5170",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:36.9430", "44.7210", "37.7720", "14.4500",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:37.2280", "45.0950", "37.7020", "14.4310",  "F:H - R:H",     
Average,,,"01:48.7474", "55.6359", "38.5521", "14.5594"
Best possible,,, "01:36.8070", "44.6940", "37.6820", "14.4310"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Georgin"
"1 ", ks_mazda_mx5_cup, no,"0", "02:14.4180", "78.4600", "40.4960", "15.4620",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:39.6570", "45.5220", "39.2710", "14.8640",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:39.6570", "47.0700", "37.9340", "14.6530",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "03:40.5990", "162.6470", "42.7910", "15.1610",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:38.1810", "45.5300", "38.0480", "14.6030",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:37.7390", "45.2160", "38.1550", "14.3680",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:37.0680", "44.8450", "37.8410", "14.3820",  "F:H - R:H",     
Average,,,"02:01.0455", "67.0414", "39.2194", "14.7847"
Best possible,,, "01:37.0540", "44.8450", "37.8410", "14.3680"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Salzeder"
"1 ", ks_mazda_mx5_cup, no,"0", "02:00.4690", "50.3680", "54.3820", "15.7190",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:38.2680", "45.3930", "38.2860", "14.5890",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:57.9800", "65.2310", "38.0800", "14.6690",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:37.7740", "45.1190", "37.9170", "14.7380",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:52.8480", "58.7030", "39.3350", "14.8100",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:53.4980", "45.0890", "53.7940", "14.6150",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:37.7920", "45.3260", "37.9180", "14.5480",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:37.5660", "45.0910", "37.9170", "14.5580",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:37.1010", "44.7610", "37.7420", "14.5980",  "F:H - R:H",     
Average,,,"01:45.9217", "49.4534", "41.7079", "14.7604"
