'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "ks_monza66, road"
Pole, "Electro(01:27.6670)"
Lasted laps, "7"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "lotus_49", "Electro", "7", "01:27.6670", "-",
"2",   "", "", "lotus_49", "McLarenTim", "7", "01:27.8560", "00:00.1890",
"3",   "", "", "lotus_49", "gunciz", "4", "01:28.2000", "00:00.5330",
"4",   "", "", "lotus_49", "Salzeder", "5", "01:28.3550", "00:00.6880",
"5",   "", "", "lotus_49", "MrGrinder", "5", "01:28.8210", "00:01.1540",
"6",   "", "", "lotus_49", "Smartpipe", "6", "01:29.0920", "00:01.4250",
"7",   "", "", "lotus_49", "Viperion_NZ", "5", "01:29.2840", "00:01.6170",
"8",   "", "", "lotus_49", "Georgin", "6", "01:29.5830", "00:01.9160",
"9",   "", "", "lotus_49", "marzen224", "0", "-", "-",
"10",   "", "", "lotus_49", "Trempale", "0", "-", "-",
"11",   "", "", "lotus_49", "NotJames", "0", "-", "-",
"12",   "", "", "lotus_49", "Waffles", "0", "-", "-",
"13",   "", "", "lotus_49", "Broadcast", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Electro"
"1 ", lotus_49, no,"0", "01:43.2290", "38.8750", "31.5270", "32.8270",  "F:V - R:V",     
"2 ", lotus_49, no,"0", "01:28.4140", "26.4720", "31.1350", "30.8070",  "F:V - R:V",     
"3 ", lotus_49, no,"0", "01:59.0930", "51.9130", "30.9010", "36.2790",  "F:V - R:V",     
"4 ", lotus_49, no,"0", "01:28.2110", "26.7550", "30.9600", "30.4960",  "F:V - R:V",     
"5 ", lotus_49, no,"0", "01:28.0500", "26.3460", "30.9780", "30.7260",  "F:V - R:V",     
"6 ", lotus_49, no,"0", "01:27.8030", "26.4230", "30.9780", "30.4020",  "F:V - R:V",     
"7 ", lotus_49, no,"0", "01:27.6670", "26.4710", "30.8210", "30.3750",  "F:V - R:V",     
Average,,,"01:34.6382", "31.8936", "31.0429", "31.7017"
Best possible,,, "01:27.5420", "26.3460", "30.8210", "30.3750"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", lotus_49, no,"0", "01:42.6410", "38.0400", "33.4610", "31.1400",  "F:V - R:V",     
"2 ", lotus_49, no,"0", "01:28.4770", "26.6020", "31.0360", "30.8390",  "F:V - R:V",     
"3 ", lotus_49, no,"0", "01:28.5570", "26.6550", "31.3200", "30.5820",  "F:V - R:V",     
"4 ", lotus_49, no,"0", "01:39.7560", "26.5900", "42.3540", "30.8120",  "F:V - R:V",     
"5 ", lotus_49, no,"0", "01:29.0820", "26.7740", "31.5090", "30.7990",  "F:V - R:V",     
"6 ", lotus_49, no,"0", "01:28.1720", "26.6620", "30.8200", "30.6900",  "F:V - R:V",     
"7 ", lotus_49, no,"0", "01:27.8560", "26.5430", "30.8260", "30.4870",  "F:V - R:V",     
Average,,,"01:32.0773", "28.2666", "33.0466", "30.7641"
Best possible,,, "01:27.8500", "26.5430", "30.8200", "30.4870"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gunciz"
"1 ", lotus_49, no,"0", "01:38.8860", "36.5420", "31.3930", "30.9510",  "F:V - R:V",     
"2 ", lotus_49, no,"0", "03:04.0590", "122.0260", "31.1270", "30.9060",  "F:V - R:V",     
"3 ", lotus_49, no,"0", "01:28.4250", "26.6580", "30.9960", "30.7710",  "F:V - R:V",     
"4 ", lotus_49, no,"0", "01:28.2000", "26.3780", "31.4550", "30.3670",  "F:V - R:V",     
Average,,,"01:54.8926", "52.9010", "31.2428", "30.7488"
Best possible,,, "01:27.7410", "26.3780", "30.9960", "30.3670"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Salzeder"
"1 ", lotus_49, no,"0", "01:52.3110", "49.1490", "32.3010", "30.8610",  "F:V - R:V",     
"2 ", lotus_49, no,"0", "01:28.9910", "26.5940", "31.4830", "30.9140",  "F:V - R:V",     
"3 ", lotus_49, no,"0", "05:02.6630", "240.1180", "31.2880", "31.2570",  "F:V - R:V",     
"4 ", lotus_49, no,"0", "01:28.8410", "26.6960", "31.1990", "30.9460",  "F:V - R:V",     
"5 ", lotus_49, no,"0", "01:28.3550", "26.5520", "30.9520", "30.8510",  "F:V - R:V",     
Average,,,"02:16.2322", "73.8218", "31.4446", "30.9658"
Best possible,,, "01:28.3550", "26.5520", "30.9520", "30.8510"

