'+++++++++++++++++++++
Practice
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Practice"
Track:, "zolder, zolder2017online_prc"
"
Best lap, "McLarenTim (01:25.1280)"
Lasted laps, "5"
Host, "Unknown"



Practice result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "Timberwolves Racing", "urd_t5_maures_2018", "McLarenTim", "3", "01:25.1280", "-",
"2",   "", "", "urd_t5_bayro_2018", "JEMknight657", "5", "01:26.0720", "00:00.9440",
"3",   "", "Timberwolves Racing", "urd_t5_maures_2018", "PhotonBurst", "4", "01:26.1380", "00:01.0100",
"4",   "", "", "urd_t5_aura_2018", "Waffles", "5", "01:26.5740", "00:01.4460",
"5",   "", "PRT Gold", "urd_t5_aura_2018", "MrGrinder", "3", "01:26.6030", "00:01.4750",
"6",   "", "PRT Gold", "urd_t5_aura_2018", "gunciz", "2", "01:27.2140", "00:02.0860",
"7",   "", "PRT Black", "urd_t5_aura_2018", "gman197002", "5", "01:27.6830", "00:02.5550",
Average,,,"01:42.5784", "40.7500", "30.7557", "31.0727"
Best possible,,, "01:26.5390", "27.5180", "30.2390", "28.7820"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gunciz"
"1 ", urd_t5_aura_2018, no,"0", "07:05.5350", "364.2310", "31.2440", "30.0600",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:27.2140", "28.3490", "30.0700", "28.7950",  "F:M - R:M",     
Average,,,"04:16.3745", "196.2900", "30.6570", "29.4275"
Best possible,,, "01:27.2140", "28.3490", "30.0700", "28.7950"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gman197002"
"1 ", urd_t5_aura_2018, no,"0", "02:42.5860", "100.8230", "32.3100", "29.4530",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "03:28.1390", "148.0960", "31.1040", "28.9390",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:37.4190", "27.6190", "30.5510", "39.2490",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:29.0590", "28.5390", "30.8110", "29.7090",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:27.6830", "27.7440", "30.8020", "29.1370",  "F:M - R:M",     
Average,,,"02:08.9772", "66.5642", "31.1156", "31.2974"
Best possible,,, "01:27.1090", "27.6190", "30.5510", "28.9390"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NotJames"
"1 ", urd_t5_bayro_2018, no,"0", "01:57.9910", "56.2290", "31.9130", "29.8490",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "03:16.7050", "137.0660", "30.4840", "29.1550",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:27.7010", "27.5770", "30.3660", "29.7580",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:30.6460", "30.6880", "30.5820", "29.3760",  "F:M - R:M",     
Average,,,"02:03.2608", "62.8900", "30.8363", "29.5345"
Best possible,,, "01:27.0980", "27.5770", "30.3660", "29.1550"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Viperion_NZ"
"1 ", urd_t5_aura_2018, no,"0", "03:19.5850", "135.3930", "33.8750", "30.3170",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:29.3850", "27.9640", "31.4500", "29.9710",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:28.6720", "27.9450", "31.5890", "29.1380",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:28.5570", "27.9460", "31.2610", "29.3500",  "F:M - R:M",     
Average,,,"01:56.5498", "54.8120", "32.0438", "29.6940"
Best possible,,, "01:28.3440", "27.9450", "31.2610", "29.1380"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"bacsi97"
"1 ", urd_t5_bayro_2018, no,"0", "01:59.8630", "59.0730", "31.5630", "29.2270",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:28.6960", "28.7200", "30.2040", "29.7720",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "03:36.0410", "156.4120", "30.9420", "28.6870",  "F:M - R:M",     
Average,,,"02:21.5334", "81.4017", "30.9030", "29.2287"
Best possible,,, "01:27.6110", "28.7200", "30.2040", "28.6870"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Trempale"
"1 ", urd_t5_bayro_2018, no,"0", "02:03.0710", "61.0930", "32.2420", "29.7360",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:30.2090", "28.8380", "31.6540", "29.7170",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:39.9120", "29.0190", "31.6170", "39.2760",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:30.0720", "30.4560", "30.8920", "28.7240",  "F:M - R:M",     
Average,,,"01:40.8161", "37.3515", "31.6013", "31.8633"
Best possible,,, "01:28.4540", "28.8380", "30.8920", "28.7240"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"marzen224"
"1 ", urd_t5_bayro_2018, no,"0", "02:39.8640", "97.4670", "32.5390", "29.8580",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:30.7110", "28.1960", "31.7250", "30.7900",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "03:26.9000", "144.1710", "33.0070", "29.7220",  "F:M - R:M",     
Average,,,"02:32.4917", "89.9447", "32.4237", "30.1233"
Best possible,,, "01:29.6430", "28.1960", "31.7250", "29.7220"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
